ATC;MEGNEV;ANGOL;HATOANYAG
G03FB05;noretisteron - ösztrogén kombinációk;noretisteron - ösztrogén kombinációk;noretisteron - ösztrogén kombinációk
G03FB06;medroxiprogesteron - ösztrogén kombinációk;medroxiprogesteron - ösztrogén kombinációk;medroxiprogesteron - ösztrogén kombinációk
G03FB07;medrogestone and estrogen;medrogestone and estrogen;medrogestone and estrogen
G03FB08;dydrogesterone and estrogen;dydrogesterone and estrogen;dydrogesterone and estrogen
G03FB09;levonorgestrel - ösztrogén kombinációk;levonorgestrel - ösztrogén kombinációk;levonorgestrel - ösztrogén kombinációk
G03FB10;desogestrel and estrogen;desogestrel and estrogen;desogestrel and estrogen
G03G;gonadotropinok és más ovuláció-stimulálók;gonadotropins and other ovulation stimulants;
G03GA;gonadotropinok;gonadotropins;
G03GA01;chorion-gonadotropin;chorionic gonadotropin;chorion-gonadotropin
G03GA02;gonadotropinum humanum menopausale (fsh+lh);gonadotropinum humanum menopausale (fsh+lh);gonadotropinum humanum menopausale (fsh+lh)
G03GA03;serum gonadotropin;serum gonadotropin;serum gonadotropin
G03GA04;urofollitropin;urofollitropin;urofollitropin
G03GA05;follitropin alfa;follitropin alfa;follitropin alfa
G03AC04;quingestanol;quingestanol;quingestanol
G03AC05;megestrol;megestrol;megestrol
G03AC06;medroxyprogesterone;medroxyprogesterone;medroxyprogesterone
G03AC07;norgestrienone;norgestrienone;norgestrienone
G03AC08;etonogestrel;etonogestrel;etonogestrel
G03AC09;desogestrel;desogestrel;desogestrel
G03AC19;etinodiol-diacetát;;etinodiol-diacetát
G03B;androgének;androgens;
G03BA;3-oxoandrosten (4) származékai;3-oxoandrosten (4) derivatives;
G03BA01;fluximesteron;fluoxymesterone;fluximesteron
G03BA02;methyltestosterone;methyltestosterone;methyltestosterone
G03BA03;tesztoszteron;testosterone;tesztoszteron
G03BB;5-androstanon (3) származékai;5-androstanon (3) derivatives;
G03BB01;mesterolon;mesterolone;mesterolon
G03BB02;androstanolone;androstanolone;androstanolone
G03C;ösztrogének;estrogens;
G03CA;természetes és félszintetikus ösztrogének;natural and semisynthetic estrogens, plain;
G03CA01;etinil-ösztradiol;ethinylestradiol;etinil-ösztradiol
G03CA03;ösztradiol;estradiol;ösztradiol
G03CA04;ösztriol;ösztriol;ösztriol
G03CA06;klorotrianizén;chlorotrianisene;klorotrianizén
G03CA07;estrone;estrone;estrone
G03CA09;promestriene;promestriene;promestriene
G03CA53;estradiol, combinations;estradiol, combinations;estradiol, combinations
G03CA57;conjugated estrogens;conjugated estrogens;conjugated estrogens
G03CB;egykomponensú szintetikus ösztrogének;synthetic estrogens, plain;
G03CB01;dienösztrol;dienestrol;dienösztrol
G03CB02;diethylstilbestrol;diethylstilbestrol;diethylstilbestrol
G03CB03;methallenestril;methallenestril;methallenestril
G03CB04;moxestrol;moxestrol;moxestrol
G03CC;ösztrogének kombinációi más gyógyszerrel;estrogens, combinations with other drugs;
G03CC02;dienestrol;dienestrol;dienestrol
G03CC03;methallenestril;methallenestril;methallenestril
G03CC04;estrone;estrone;estrone
G03CC05;diethylstilbestrol;diethylstilbestrol;diethylstilbestrol
G03D;progesztogének;progestogens;
G03DA;pregnen (4) származékai;pregnen (4) derivatives;
G03DA01;gestonorone;gestonorone;gestonorone
G03DA02;medroxiprogesteron;medroxiprogesteron;medroxiprogesteron
G03DA03;hydroxyprogesterone;hydroxyprogesterone;hydroxyprogesterone
G03DA04;progesterone;progesterone;progesterone
G03DB;pregnadien származékai;pregnadien derivatives;
G03DB01;dydrogesteron;dydrogesteron;dydrogesteron
G03DB02;megestrol;megestrol;megestrol
G03DB03;medrogestone;medrogestone;medrogestone
G03DB04;nomegestrol;nomegestrol;nomegestrol
G03DB05;demegestone;demegestone;demegestone
G03DB06;chlormadinone;chlormadinone;chlormadinone
G03DB07;promegestone;promegestone;promegestone
G03DC;ösztron származékai;estren derivatives;
G03DC01;allilösztrenol;allylestrenol;allilösztrenol
G03DC02;noretisteron;noretisteron;noretisteron
G03DC03;lynestrenol;lynestrenol;lynestrenol
G03DC04;ethisterone;ethisterone;ethisterone
G03DC05;tibolon;tibolone;tibolon
G03DC06;etynodiol;etynodiol;etynodiol
G03DC31;methylestrenolone;methylestrenolone;methylestrenolone
G03E;androgének és női nemi hormonok kombinációi;androgens and female sex hormones in combination;
G03EA;androgének és ösztrogének;androgens and estrogens;
G03EA01;methyltestosterone and estrogen;methyltestosterone and estrogen;methyltestosterone and estrogen
G03EA02;testosterone and estrogen;testosterone and estrogen;testosterone and estrogen
G03EA03;prasterone and estrogen;prasterone and estrogen;prasterone and estrogen
G03EB;androgének, progesztogének és ösztrogének kombinációi;androgen, progestogen and estrogen in combination;
G03EK;androgének és női nemi hormonok kombinációi más gyógyszerekkel;androgens and female sex hormones in combination with other drugs;
G03EK01;methyltestosterone;methyltestosterone;methyltestosterone
G03F;progesztogének és ösztrogének kombinációi;progestogens and estrogens in combination;
G03FA;progesztogének és ösztrogének fix kombinációi;progestogens and estrogens, combinations;
G03FA01;noretisteron - ösztrogén kombinációk;noretisteron - ösztrogén kombinációk;noretisteron - ösztrogén kombinációk
G03FA02;hydroxyprogesterone and estrogen;hydroxyprogesterone and estrogen;hydroxyprogesterone and estrogen
G03FA03;ethisterone and estrogen;ethisterone and estrogen;ethisterone and estrogen
G03FA04;progesterone and estrogen;progesterone and estrogen;progesterone and estrogen
A10BD20;empagliflozin és metformin;metformin and empagliflozin;empagliflozin és metformin
V09HX;other diagnostic radiopharmaceuticals for inflammation and infection detection;other diagnostic radiopharmaceuticals for inflammation and infection detection;
V09HX01;gallium (67ga) citrate;gallium (67ga) citrate;gallium (67ga) citrate
V09I;tumour detection;tumour detection;
V09IA;technetium (99mtc) compounds;technetium (99mtc) compounds;
V09IA01;technetium (99mtc) anticarcinoembryonicantigen antibody;technetium (99mtc) anticarcinoembryonicantigen antibody;technetium (99mtc) anticarcinoembryonicantigen antibody
V09IA02;technetium (99mtc) antimelanoma antibody;technetium (99mtc) antimelanoma antibody;technetium (99mtc) antimelanoma antibody
V09IA03;technetium (99mtc) pentavalent succimer;technetium (99mtc) pentavalent succimer;technetium (99mtc) pentavalent succimer
V09IA04;technetium (99mtc) votumumab;technetium (99mtc) votumumab;technetium (99mtc) votumumab
V09IA05;technetium (99mtc) depreotide;technetium (99mtc) depreotide;technetium (99mtc) depreotide
V09IA06;technetium (99mtc) arcitumomab;technetium (99mtc) arcitumomab;technetium (99mtc) arcitumomab
V09IB;indium (111in) compounds;indium (111in) compounds;
V09IB01;indium (111in) pentetreotide;indium (111in) pentetreotide;indium (111in) pentetreotide
V09IB02;indium (111in) satumomab pendetide;indium (111in) satumomab pendetide;indium (111in) satumomab pendetide
V09IB03;indium (111in) antiovariumcarcinoma antibody;indium (111in) antiovariumcarcinoma antibody;indium (111in) antiovariumcarcinoma antibody
V09IX;other diagnostic radiopharmaceuticals for tumour detection;other diagnostic radiopharmaceuticals for tumour detection;
V09IX01;iobenguane (123i);iobenguane (123i);iobenguane (123i)
V09IX02;iobenguane (131i);iobenguane (131i);iobenguane (131i)
V09IX03;iodine (125i) cc49-monoclonal antibody;iodine (125i) cc49-monoclonal antibody;iodine (125i) cc49-monoclonal antibody
V09X;other diagnostic radiopharmaceuticals;other diagnostic radiopharmaceuticals;
V09XA;iodine (131i) compounds;iodine (131i) compounds;
V09XA01;iodine (131i) norcholesterol;iodine (131i) norcholesterol;iodine (131i) norcholesterol
V09XA02;iodocholesterol (131i);iodocholesterol (131i);iodocholesterol (131i)
V09XX;various diagnostic radiopharmaceuticals;various diagnostic radiopharmaceuticals;
V09XX01;cobalt (57co) cyanocobalamine;cobalt (57co) cyanocobalamine;cobalt (57co) cyanocobalamine
V09XX02;cobalt (58co) cyanocobalamine;cobalt (58co) cyanocobalamine;cobalt (58co) cyanocobalamine
V09XX03;selenium (75se) norcholesterol;selenium (75se) norcholesterol;selenium (75se) norcholesterol
V09XX04;ferric (59fe) citrate;ferric (59fe) citrate;ferric (59fe) citrate
V10;therapeutic radiopharmaceuticals;therapeutic radiopharmaceuticals;
V10A;antiinflammatory agents;antiinflammatory agents;
V10AA;yttrium (90y) compounds;yttrium (90y) compounds;
V10AA01;yttrium (90y) citrate colloid;yttrium (90y) citrate colloid;yttrium (90y) citrate colloid
V10AA02;yttrium (90y) ferrihydroxide colloid;yttrium (90y) ferrihydroxide colloid;yttrium (90y) ferrihydroxide colloid
V10AA03;yttrium (90y) silicate colloid;yttrium (90y) silicate colloid;yttrium (90y) silicate colloid
V10AX;other antiinflammatory therapeutic radiopharmaceuticals;other antiinflammatory therapeutic radiopharmaceuticals;
V10AX01;phosphorous (32p) chromicphosphate colloid;phosphorous (32p) chromicphosphate colloid;phosphorous (32p) chromicphosphate colloid
V10AX02;samarium (153sm) hydroxyapatite colloid;samarium (153sm) hydroxyapatite colloid;samarium (153sm) hydroxyapatite colloid
V10AX03;dysprosium (165dy) colloid;dysprosium (165dy) colloid;dysprosium (165dy) colloid
V10AX04;erbium (169er) citrate colloid;erbium (169er) citrate colloid;erbium (169er) citrate colloid
V10AX05;rhenium (186re) sulfide colloid;rhenium (186re) sulfide colloid;rhenium (186re) sulfide colloid
V10AX06;gold (198au) colloidal;gold (198au) colloidal;gold (198au) colloidal
V10B;pain palliation (bone seeking agents);pain palliation (bone seeking agents);
V10BX;various pain palliation radiopharmaceuticals;various pain palliation radiopharmaceuticals;
V10BX01;strontium (89sr) chloride;strontium (89sr) chloride;strontium (89sr) chloride
V10BX03;rhenium (186re) etidronic acid;rhenium (186re) etidronic acid;rhenium (186re) etidronic acid
V10X;other therapeutic radiopharmaceuticals;other therapeutic radiopharmaceuticals;
V10XA;iodine (131i) compounds; iodine (131i) compounds;
S01BC09;pranoprofen;pranoprofen;pranoprofen
S03D;egyéb szemészeti és fülészeti készítmények;other ophthalmological and otological preparations;
V;egyéb;various;
V01;allergének;allergens;
V01A;allergének;allergens;
V01AA;allergén kivonatok;allergen extracts;
V01AA01;feather;feather;feather
V01AA02;grass pollen;grass pollen;grass pollen
V01AA03;house dust;house dust;house dust
V01AA04;mould fungus and yeast fungus;mould fungus and yeast fungus;mould fungus and yeast fungus
V01AA05;tree pollen;tree pollen;tree pollen
V01AA07;insects;insects;insects
V01AA08;food;food;food
V01AA09;textiles;textiles;textiles
V01AA10;flowers;flowers;flowers
V01AA11;animals;animals;animals
V01AA20;various;various;various
V02;immunszupressziv készitmények;;
V02C;immunszupressziv készitmények;;
V02CA;szelektiv immunszupressziv készitmények;;
V03;minden egyéb terápiás készítmény;all other therapeutic products;
V03A;minden egyéb terápiás készítmény;all other therapeutic products;
V03AA;gyógyszerek a krónikus alkoholizmus kezeléséhez;;
V03AA01;disulfiram;;disulfiram
V03AA19;egyéb;;egyéb
V03AB;antidotumok;antidotes;
V03AB01;ipecacuanha;ipecacuanha;ipecacuanha
V03AB02;nalorphine;nalorphine;nalorphine
V03AB03;edetates;edetates;edetates
V03AB04;pralidoxime;pralidoxime;pralidoxime
V03AB05;prednisolone and promethazine;prednisolone and promethazine;prednisolone and promethazine
V03AB06;thiosulfate;thiosulfate;thiosulfate
V03AB08;nátrium-nitrit;sodium nitrite;nátrium-nitrit
V03AB09;dimercaprol;dimercaprol;dimercaprol
V03AB13;obidoxime;obidoxime;obidoxime
V03AB14;protamin;protamine;protamin
V03AB15;naloxon;naloxon;naloxon
V03AB16;ethanol;ethanol;ethanol
V03AB17;methylthioninium chloride;methylthioninium chloride;methylthioninium chloride
V03AB18;potassium permanganate;potassium permanganate;potassium permanganate
V03AB19;physostigmine;physostigmine;physostigmine
V03AB20;copper sulfate;copper sulfate;copper sulfate
V03AB21;potassium iodide;potassium iodide;potassium iodide
V03AB22;amyl nitrite;amyl nitrite;amyl nitrite
V03AB23;acetylcysteine;acetylcysteine;acetylcysteine
V03AB24;digitalis antitoxin;digitalis antitoxin;digitalis antitoxin
V03AB25;flumazenil;flumazenil;flumazenil
V03AB26;metionin;methionine;metionin
V03AB27;4-dimethylaminophenol;4-dimethylaminophenol;4-dimethylaminophenol
V03AB29;kolineszteráz;cholinesterase;kolineszteráz
V03AB31;prussian blue;prussian blue;prussian blue
V03AB32;glutathione;glutathione;glutathione
V03AB33;hidroxokobalamin;hydroxocobalamin;hidroxokobalamin
V03AB47;silibinin;;silibinin
V03AC;vassal kelát-komplexet képező anyagok;iron chelating agents;
V03AC01;deferoxamin;deferoxamine;deferoxamin
D02AA;szilikon-készítmények;silicone products;
D02AB;cinkoxid-készítmények;zinc products;
D02AC;lágy paraffin- és zsírkészítmények;soft paraffin and fat products;
D02AD;folyékony tapaszok;liquid plasters;
D02AE;karbamid-készítmények;carbamide products;
D02AE01;carbamide;carbamide;carbamide
D02AE51;carbamide, combinations;carbamide, combinations;carbamide, combinations
D02AF;szalicilsav-készítmények;salicylic acid preparations;
D02AX;egyéb puhító és védő anyagok;other emollients and protectives;
D02B;uv-sugárzás elleni védőanyagok;protectives against uv-radiation;
D02BA;uv-sugárzás elleni lokális védőanyagok;protectives against uv-radiation for topical use;
D02BA01;aminobenzoic acid;aminobenzoic acid;aminobenzoic acid
D02BA02;octyl methoxycinnamate;octyl methoxycinnamate;octyl methoxycinnamate
D02BB;uv-sugárzás elleni szisztémás készítmények;protectives against uv-radiation for systemic use;
D02BB01;betacarotene;betacarotene;betacarotene
D03;sebek és fekélyek kezelésére szolgáló készítmények;preparations for treatment of wounds and ulcers;
D03A;hámosítók;cicatrizants;
D03AA;csukamájolaj kenőcs;cod-liver oil ointments;
D03AX;egyéb hámosítók;other cicatrizants;
D03AX01;cadexomer iodine;cadexomer iodine;cadexomer iodine
D03AX02;dextranomér;dextranomér;dextranomér
D03AX03;dexpantenol;dexpanthenol;dexpantenol
D03AX04;calcium pantothenate;calcium pantothenate;calcium pantothenate
D03AX05;cink-hialuronidát;hyaluronic acid;cink-hialuronidát
D03AX06;becaplermin;becaplermin;becaplermin
D03AX07;glyceryl trinitrate;glyceryl trinitrate;glyceryl trinitrate
D03AX08;isosorbide dinitrate;isosorbide dinitrate;isosorbide dinitrate
D03AX17;azulén;;azulén
D03AX18;rosa centifolia extraktum;;rosa centifolia extraktum
D03AX53;dexpantenol kombinációk;;dexpantenol kombinációk
D03AX55;hialuronsav kombinációk;;egyéb hámosítók, k.m.n.(2)
D03AX65;nátrium-szamárium-szulfoszalicilát kombinációk;;nátrium-szamárium-szulfoszalicilát kombinációk
D03AX66;egyéb kombinációk;;egyéb kombinációk
D03AX67;fehérjementesített borjúvér kivonat (szárazanyag);;fehérjementesített borjúvér kivonat (szárazanyag)
D03B;enzimek;enzymes;
D03BA;proteolitikus enzimek;proteolytic enzymes;
D03BA01;trypsin;trypsin;trypsin
D03BA02;clostridiopeptidase;clostridiopeptidase;clostridiopeptidase
D03BA51;tripszin kombinációk;;proteolyticus enzimek, k.m.n.
D03BA52;clostridiopeptidase, combinations;clostridiopeptidase, combinations;clostridiopeptidase, combinations
D04;viszketés elleni szerek beleértve: antihisztaminok, érzéstelenítők stb.;antipruritics, incl. antihistamines, anesthetics, etc.;
D04A;viszketés elleni szerek, beleértve: antihistaminok, érzéstelenítők stb.;viszketés elleni szerek, beleértve: antihistaminok, érzéstelenítők stb.;viszketés elleni szerek, beleértve: antihistaminok, érzéstelenítők stb.
D04AA;antihisztaminok lokális használatra;antihistamines for topical use;
D04AA01;thonzylamine;thonzylamine;thonzylamine
D04AA02;mepyramine;mepyramine;mepyramine
D04AA03;thenalidine;thenalidine;thenalidine
D04AA04;tripelennamine;tripelennamine;tripelennamine
D04AA09;chloropyramine;chloropyramine;chloropyramine
D04AA10;promethazine;promethazine;promethazine
D04AA12;tolpropamine;tolpropamine;tolpropamine
D04AA13;dimethinden;dimetindene;dimethinden
D04AA14;clemastine;clemastine;clemastine
D04AA15;bamipine;bamipine;bamipine
D04AA22;isothipendyl;isothipendyl;isothipendyl
D04AA32;diphenhydramine;diphenhydramine;diphenhydramine
D04AA33;diphenhydramine methylbromide;diphenhydramine methylbromide;diphenhydramine methylbromide
D04AA34;chlorphenoxamine;chlorphenoxamine;chlorphenoxamine
D04AB;érzéstelenítők lokális használatra;anesthetics for topical use;
D04AB01;lidokain;lidocaine;lidokain
D04AB02;cinchocaine;cinchocaine;cinchocaine
D04AB03;oxybuprocaine;oxybuprocaine;oxybuprocaine
D04AB04;benzocaine;benzocaine;benzocaine
D04AB05;quinisocaine;quinisocaine;quinisocaine
D04AB06;tetracaine;tetracaine;tetracaine
D04AB07;pramocaine;pramocaine;pramocaine
D04AX;egyéb viszketés elleni szerek;other antipruritics;
G03AA09;dezogestrel - ösztrogén kombinációk;desogestrel and estrogen;dezogestrel - ösztrogén kombinációk
G03AA10;gestoden - ösztrogén kombinációk;gestoden - ösztrogén kombinációk;gestoden - ösztrogén kombinációk
G03AA11;norgestimat - ösztrogén kombinációk;norgestimate and estrogen;norgestimat - ösztrogén kombinációk
G03AB;progesztogén és ösztrogén szekvenciális kombinációi;progestogens and estrogens, sequential preparations;
G03AB01;megestrol and estrogen;megestrol and estrogen;megestrol and estrogen
G03AB02;lynestrenol and estrogen;lynestrenol and estrogen;lynestrenol and estrogen
G03AB03;levonorgestrel - ösztrogén kombinációk;levonorgestrel and estrogen;levonorgestrel - ösztrogén kombinációk
G03AB04;noretisteron - ösztradiol kombinációk;norethisterone and estrogen;noretisteron - ösztradiol kombinációk
G03AB05;desogestrel and estrogen;desogestrel and estrogen;desogestrel and estrogen
G03AB06;gestoden - ösztrogén kombinációk;gestodene and estrogen;gestoden - ösztrogén kombinációk
G03AB07;chlormadinone and estrogen;chlormadinone and estrogen;chlormadinone and estrogen
G03AC;progesztogének;progestogens;
G03AC01;norethisterone;norethisterone;norethisterone
G03AC02;lynestrenol;lynestrenol;lynestrenol
G03AC03;levonorgestrel;levonorgestrel;levonorgestrel
J07BD52;morbilli, combinations with parotitis and rubella, live attenuated;morbilli, combinations with parotitis and rubella, live attenuated;morbilli, combinations with parotitis and rubella, live attenuated
J07BD53;morbilli, combinations with rubella, live attenuated;morbilli, combinations with rubella, live attenuated;morbilli, combinations with rubella, live attenuated
J07BE;parotitis vakcinák;parotitis vaccines;
J07BE01;parotitis, live attenuated;parotitis, live attenuated;parotitis, live attenuated
J07BF;poliomyelitis vakcinák;poliomyelitis vaccines;
J07BF01;poliomyelitis oral, monovalent live attenuated;poliomyelitis oral, monovalent live attenuated;poliomyelitis oral, monovalent live attenuated
J07BF02;poliomyelitis oral, trivalent, live attenuated;poliomyelitis oral, trivalent, live attenuated;poliomyelitis oral, trivalent, live attenuated
J07BF03;poliomyelitis, trivalent, inactivated, whole virus;poliomyelitis, trivalent, inactivated, whole virus;poliomyelitis, trivalent, inactivated, whole virus
J07BG;rabies vakcinák;rabies vaccines;
J07BG01;rabies, inactivated, whole virus;rabies, inactivated, whole virus;rabies, inactivated, whole virus
J07BH;rotavirus vakcinák;rota virus diarrhea vaccines;
J07BH01;rota virus, live attenuated;rota virus, live attenuated;rota virus, live attenuated
J07BJ;rubeola vakcinák;rubella vaccines;
J07BJ01;rubella, live attenuated;rubella, live attenuated;rubella, live attenuated
J07BJ51;rubella, combinations with parotitis, live attenuated;rubella, combinations with parotitis, live attenuated;rubella, combinations with parotitis, live attenuated
J07BK;varicella vakcinák;varicella vakcinák;varicella vakcinák
J07BK01;varicella, live attenuated;varicella, live attenuated;varicella, live attenuated
J07BL;sárgaláz vakcinák;yellow fever vaccines;
J07BL01;yellow fever, live attenuated;yellow fever, live attenuated;yellow fever, live attenuated
J07BX;egyéb viralis vakcinák;other viral vaccines;
J07C;bakteriális és virális vakcinák kombinációi;bacterial and viral vaccines, combined;
J07CA;bacterial and viral vaccines, combined;bacterial and viral vaccines, combined;
J07CA01;diphtheria-poliomyelitis-tetanus;diphtheria-poliomyelitis-tetanus;diphtheria-poliomyelitis-tetanus
J07CA02;diphtheria-pertussis-poliomyelitis-tetanus;diphtheria-pertussis-poliomyelitis-tetanus;diphtheria-pertussis-poliomyelitis-tetanus
J07CA03;diphtheria-rubella-tetanus;diphtheria-rubella-tetanus;diphtheria-rubella-tetanus
J07CA04;hemophilus influenzae b and poliomyelitis;hemophilus influenzae b and poliomyelitis;hemophilus influenzae b and poliomyelitis
J07CA05;diphtheria-hepatitis b-pertussis-tetanus;diphtheria-hepatitis b-pertussis-tetanus;diphtheria-hepatitis b-pertussis-tetanus
J07CA06;diphtheria-hemophilus influenzae b-pertussis-poliomyelitis-tetanus;diphtheria-hemophilus influenzae b-pertussis-poliomyelitis-tetanus;diphtheria-hemophilus influenzae b-pertussis-poliomyelitis-tetanus
J07CA07;diphtheria-hepatitis b-tetanus;diphtheria-hepatitis b-tetanus;diphtheria-hepatitis b-tetanus
J07CA08;hemophilus influenzae b and hepatitis b;hemophilus influenzae b and hepatitis b;hemophilus influenzae b and hepatitis b
J07X;egyéb vakcinák;other vaccines;
J08;egyéb fertőzés ellenes szerek;;
J08A;egyéb fertőzés ellenes szerek;;
J08AA;lepraellenes szerek;;
L;daganatellenes szerek és immunmodulátorok;antineoplastic and immunomodulating agents;
L01;daganatellenes szerek és immunmodulátorok;antineoplastic agents;
L01A;alkilező szerek;alkylating agents;
L01AA;mustárnitrogén-analógok;nitrogen mustard analogues;
L01AA01;ciklofoszfamid;cyclophosphamide;ciklofoszfamid
L01AA02;klórambucil;chlorambucil;klórambucil
L01AA03;melfalan;melphalan;melfalan
L01AA05;chlormethine;chlormethine;chlormethine
L01AA06;ifoszfamid;ifosfamide;ifoszfamid
L01AA07;trofosfamide;trofosfamide;trofosfamide
L01AA08;prednimustine;prednimustine;prednimustine
L01AB;alkil-szulfonátok;alkyl sulfonates;
L01AB01;buszulfan;busulfan;buszulfan
L01AB02;treosulfan;treosulfan;treosulfan
L01AB03;mannosulfan;mannosulfan;mannosulfan
L01AC;etilén iminek;ethylene imines;
L01AC01;thiotepa;thiotepa;thiotepa
L01AC02;triaziquone;triaziquone;triaziquone
L01AC03;carboquone;carboquone;carboquone
L01AD;nitrozoureák;nitrosoureas;
L01AD01;carmustin;carmustin;carmustin
L01AD02;lomustine;lomustine;lomustine
L01AD03;semustine;semustine;semustine
L01AD04;streptozocin;streptozocin;streptozocin
L01AD05;fotemustin;fotemustin;fotemustin
V10XX03;radium (223Ra) dichloride;radium (223Ra) dichloride;radium (223Ra) dichloride
G03FA05;methylnortestosterone and estrogen;methylnortestosterone and estrogen;methylnortestosterone and estrogen
G03FA06;etynodiol and estrogen;etynodiol and estrogen;etynodiol and estrogen
G03FA07;lynestrenol and estrogen;lynestrenol and estrogen;lynestrenol and estrogen
G03FA08;megestrol and estrogen;megestrol and estrogen;megestrol and estrogen
G03FA09;noretynodrel and estrogen;noretynodrel and estrogen;noretynodrel and estrogen
G03FA10;norgestrel and estrogen;norgestrel and estrogen;norgestrel and estrogen
G03FA11;levonorgestrel and estrogen;levonorgestrel and estrogen;levonorgestrel and estrogen
G03FA12;medroxyprogesterone and estrogen;medroxyprogesterone and estrogen;medroxyprogesterone and estrogen
H01AC03;mecasermin;mecasermin;mecasermin
H01AC04;sermorelin;sermorelin;sermorelin
H01B;hipofízis hátsó lebeny hormonok;posterior pituitary lobe hormones;
H01BA;vasopressin és analógjai;vasopressin and analogues;
H01BA01;vasopressin (argipressin);vasopressin (argipressin);vasopressin (argipressin)
H01BA02;desmopressin;desmopressin;desmopressin
H01BA03;lypressin;lypressin;lypressin
H01BA04;terlipressin;terlipressin;terlipressin
H01BA05;ornipressin;ornipressin;ornipressin
H01BA06;argipressin;argipressin;argipressin
H01BB;oxitocin és származékai;oxytocin and analogues;
H01BB01;demoxytocin;demoxytocin;demoxytocin
H01BB02;oxitocin;oxytocin;oxitocin
H01BB03;carbetocin;carbetocin;carbetocin
H01C;hipothalamusz hormonok;hypothalamic hormones;
H01CA;gonadotropin releasing hormon (grh);gonadotropin-releasing hormones;
H01CA01;gonadorelin;gonadorelin;gonadorelin
H01CA02;nafarelin;nafarelin;nafarelin
H01CA03;histrelin;histrelin;histrelin
H01CB;növekedési hormon release inhibítor hormonok;antigrowth hormone;
H01CB01;somatostatin;somatostatin;somatostatin
H01CB02;octretoid;octretoid;octretoid
H01CB03;lanreotide;lanreotide;lanreotide
H01CC;anti-gonadotropin-releasing hormones;anti-gonadotropin-releasing hormones;
H01CC01;ganirelix;ganirelix;ganirelix
H01CC02;cetrorelix;cetrorelix;cetrorelix
H02;szisztémás kortikoszteroidok;corticosteroids for systemic use;
H02A;szisztémás egykomponensű kortikoszteroidok;corticosteroids for systemic use, plain;
H02AA;mineralokortikoidok;mineralocorticoids;
H02AA01;aldosterone;aldosterone;aldosterone
H02AA02;fludrokortizon;fludrokortizon;fludrokortizon
H02AA03;desoxycortone;desoxycortone;desoxycortone
H02AB;glukokortikoidok;glucocorticoids;
H02AB01;betametazon;betametazon;betametazon
H02AB02;dexametazon;dexametazon;dexametazon
H02AB03;fluocortolone;fluocortolone;fluocortolone
H02AB04;metilprednizolon;methylprednisolone;metilprednizolon
H02AB05;paramethasone;paramethasone;paramethasone
H02AB06;prednizolon;prednisolone;prednizolon
H02AB07;prednizon;prednizon;prednizon
H02AB08;triamcinolon;triamcinolone;triamcinolon
H02AB09;hidrokortizon;hydrocortisone;hidrokortizon
H02AB10;kortizon;cortisone;kortizon
H02AB11;prednylidene;prednylidene;prednylidene
H02AB12;rimexolone;rimexolone;rimexolone
H02AB13;deflazacort;deflazacort;deflazacort
H02AB14;cloprednol;cloprednol;cloprednol
H02AB15;meprednisone;meprednisone;meprednisone
H02AB16;budesonide;budesonide;budesonide
H02AB17;cortivazol;cortivazol;cortivazol
H02AB19;mazipredon;;mazipredon
H02B;szisztémás kortikoszteroidok kombinációkban;corticosteroids for systemic use, combinations;
H02BX;szisztémás kortikoszteroidok kombinációi;corticosteroids for systemic use, combinations;
H02BX01;methylprednisolone, combinations;methylprednisolone, combinations;methylprednisolone, combinations
H02C;kéreghormonok antagonistái;antiadrenal preparations;
H02CA;antikortikoszteroidok;anticorticosteroids;
H02CA01;trilostane;trilostane;trilostane
H03;pajzsmirigy-terápia;thyroid therapy;
H03A;pajzsmirigy-készítmények;thyroid preparations;
H03AA;pajzsmirigy-hormonok;thyroid hormones;
H03AA01;levotiroxin-nátrium;levothyroxine sodium;levothyroxine sodium
H03AA02;liothyronine sodium;liothyronine sodium;liothyronine sodium
H03AA03;levotiroxin - liotironin kombinációk;combinations of levothyroxine and liothyronine;levotiroxin - liotironin kombinációk
H03AA04;tiratricol;tiratricol;tiratricol
H03AA05;thyroid gland preparations;thyroid gland preparations;thyroid gland preparations
H03B;antithyreoid készítmények;antithyroid preparations;
H03BA;thiouracilok;thiouracils;
H03BA01;methylthiouracil;methylthiouracil;methylthiouracil
H03BA02;propiltiouracil;propylthiouracil;propiltiouracil
H03BA03;benzylthiouracil;benzylthiouracil;benzylthiouracil
H03BB;kéntartalmú imidazol származékok;sulfur-containing imidazole derivatives;
H03BB01;carbimazole;carbimazole;carbimazole
H03BB02;tiamazol;thiamazole;tiamazol
H03BB52;thiamazole, combinations;thiamazole, combinations;thiamazole, combinations
H03BC;perklorátok;perchlorates;
H03BC01;potassium perchlorate;potassium perchlorate;potassium perchlorate
H03BX;egyéb antithyreoid készítmények;other antithyroid preparations;
H03BX01;diiodotyrosine;diiodotyrosine;diiodotyrosine
H03BX02;dibromotyrosine;dibromotyrosine;dibromotyrosine
H03C;jódterápia;iodine therapy;
H03CA;jódterápia;iodine therapy;
H04;hasnyálmirigy-hormonok;pancreatic hormones;
H04A;glükogenolítikus hormonok;glycogenolytic hormones;
H04AA;glükogenolítikus hormonok;glycogenolytic hormones;
H04AA01;glukagon;glukagon;glukagon
H05;kalcium homeosztázis;calcium homeostasis;
